,author,alias,title,date,ip,city,country,ups,downs,comments,url,file,seg_text,seg_pos,tag
97,tycousin,500元,[情報] BIBI - 假面舞會,2022-09-27 13:26:45,114.47.160.125,New Taipei,Taiwan,27,0,4,https://www.ptt.cc/bbs/KoreanPop/M.1664256409.A.438.html,KoreanPop_2022_9,情報 假面 舞會,Na Na Na,情報
98,Im22Yo,Beautiful Wanna One,[情報] MAMAMOO 'MIC ON' 10/11回歸,2022-09-26 23:02:14,101.138.201.192,,Taiwan,88,0,9,https://www.ptt.cc/bbs/KoreanPop/M.1664204536.A.2CB.html,KoreanPop_2022_9,情報 回歸,Na VCL,情報
99,pkkcyc,,[情報] HANTEO週榜 (2022-09-19 ~ 2022-09-25),2022-09-26 21:48:10,36.227.227.192,Hualien City,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664200092.A.8E8.html,KoreanPop_2022_9,情報 週榜 2022-09,Na Na Neu,情報
100,Im22Yo,Beautiful Wanna One,[影音] 月水金火木土 OST Part.1 - YUJU,2022-09-29 11:02:46,101.138.0.246,,Taiwan,6,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664420569.A.51B.html,KoreanPop_2022_9,影音 月 水 金 火 木 土,Na Na Na Na Na Na Na,影音
101,johnny40615,豆?,[影音] 未來少年 (MIRAE) - Drip N' Drop,2022-09-29 01:51:44,114.24.0.245,New Taipei,Taiwan,1,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664387510.A.0C3.html,KoreanPop_2022_9,影音 未來 少年,Na Nd Na,影音
102,sodavoxyi,LOVE YOURSELF,[情報] 李正權 - 想要觸碰你,2022-09-30 12:13:57,220.138.220.244,Keelung,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664511242.A.1CB.html,KoreanPop_2022_9,情報 李正權 想要 觸碰 你,Na Nb VE VC Nh,情報
103,johnny40615,豆?,[影音] 220918 SBS 人氣歌謠,2022-09-18 20:03:28,114.24.0.245,New Taipei,Taiwan,22,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1663502611.A.7F5.html,KoreanPop_2022_9,影音 人氣 歌謠,Na Na Na,影音
104,angelak765,Wandering,[情報] Dept - Van Gogh,2022-09-18 16:51:38,42.77.86.0,Kaohsiung City,Taiwan,2,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663491104.A.EBB.html,KoreanPop_2022_9,情報,Na,情報
105,tycousin,500元,[情報] Street Man Fighter Original Vol.4,2022-09-20 17:22:48,114.47.174.172,Kaohsiung City,Taiwan,20,0,7,https://www.ptt.cc/bbs/KoreanPop/M.1663665773.A.358.html,KoreanPop_2022_9,情報,Na,情報
106,tycousin,500元,[影音] [加長型禮車服務] EP.29 NMIXX Lily,2022-09-20 17:00:04,223.139.143.70,Kaohsiung City,Taiwan,84,0,22,https://www.ptt.cc/bbs/KoreanPop/M.1663664406.A.50D.html,KoreanPop_2022_9,影音 加長型 禮車 服務,Na Na Na VC,影音
107,lucy9422,chiaya,Fw: [情報] KARDI - Chil,2022-09-25 11:16:24,111.71.213.214,Taoyuan District,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664075785.A.E76.html,KoreanPop_2022_9,情報,Na,情報
108,sodavoxyi,LOVE YOURSELF,[情報] ADORA 迷你1輯 [Adorable REbirth] 預告集中,2022-09-24 23:03:03,36.225.188.156,New Taipei,Taiwan,1,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664031785.A.A1C.html,KoreanPop_2022_9,情報 迷你 1 輯 預告集 中,Na VH Neu Nf VE Ng,情報
109,Im22Yo,Beautiful Wanna One,[影音] Billlie - Ring My Bell 接力舞蹈,2022-09-24 20:01:07,101.139.191.84,,Taiwan,5,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1664020869.A.077.html,KoreanPop_2022_9,影音 接力 舞蹈,Na VA Na,影音
110,yihsuan1122,,[情報] OUREALGOAT - 連一瞬間都沒有餘裕,2022-09-24 19:09:34,49.216.89.141,New Taipei,Taiwan,3,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664017778.A.C36.html,KoreanPop_2022_9,情報 一瞬間 沒有 餘裕,Na Nd VJ Na,情報
111,zesihaq,迷途小書僮,[情報] EPIK HIGH要來啦！,2022-09-24 17:36:28,114.25.206.12,New Taipei,Taiwan,9,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664012190.A.707.html,KoreanPop_2022_9,情報 來,Na VA,情報
112,angelak765,Wandering,[影音] 空氣男(Airman) - 夢兆,2022-09-24 17:33:34,42.77.68.192,Tainan City,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664012022.A.0EC.html,KoreanPop_2022_9,影音 空氣 男 夢兆,Na Na Na Na,影音
113,Im22Yo,Beautiful Wanna One,[影音] Blind OST Part.1 - Kim Ye Ji,2022-09-24 17:32:01,101.139.18.79,,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664011926.A.6FC.html,KoreanPop_2022_9,影音,Na,影音
114,Im22Yo,Beautiful Wanna One,[情報] 千元律師 OST Part.1 - DINDIN,2022-09-24 17:29:13,101.139.18.79,,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664011757.A.86C.html,KoreanPop_2022_9,情報  千 元 律師 .1,Na Nb Nf Na Na,情報
115,Im22Yo,Beautiful Wanna One,[情報] 金湯匙 OST Part.1 - 閔庚勳,2022-09-24 17:23:08,101.139.18.79,,Taiwan,4,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664011390.A.38F.html,KoreanPop_2022_9,情報 湯匙 閔庚勳,Na Na Nb,情報
116,johnny40615,豆?,[影音] 220924 MBC Show!音樂中心,2022-09-24 15:48:22,114.24.0.245,New Taipei,Taiwan,19,0,5,https://www.ptt.cc/bbs/KoreanPop/M.1664005705.A.D5F.html,KoreanPop_2022_9,影音 音樂 中心,Na Na Nc,影音
117,tycousin,500元,[情報] 鮮于貞娥 - black coffee Feat. 禹元才,2022-09-24 11:34:38,114.47.194.123,Tainan City,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663990483.A.713.html,KoreanPop_2022_9,情報 鮮于貞娥  - black 禹元才,Na Nb Nb Nb,情報
118,tycousin,500元,[情報] CHANMINA - Don't go Feat. ASH ISLAND,2022-09-24 11:18:33,114.47.194.123,Tainan City,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663989517.A.B59.html,KoreanPop_2022_9,情報,Na,情報
119,tycousin,500元,"[情報] 換乘戀愛2 OST Part.4 - KOYO,Jungtune",2022-09-24 11:12:32,114.47.194.123,Tainan City,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663989157.A.A43.html,KoreanPop_2022_9,情報 換乘 戀愛 2 OST Part.4,Na VC VH Neu,情報
120,tycousin,500元,"[情報] 換乘戀愛2 OST Part.3 - Kim Ye Jun,eSNa",2022-09-24 11:12:17,114.47.194.123,Tainan City,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663989141.A.197.html,KoreanPop_2022_9,情報 換乘 戀愛 2 OST Part.3,Na VC VH Neu,情報
121,johnny40615,豆?,[影音] 220923 ArirangTV Simply K-Pop,2022-09-24 01:21:46,114.24.0.245,New Taipei,Taiwan,1,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663953708.A.AA4.html,KoreanPop_2022_9,影音,Na,影音
122,bboy0223,,[影音] 220922 2022 首爾國際電視節 表演,2022-09-24 00:14:05,118.167.18.125,New Taipei,Taiwan,3,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663949649.A.ECE.html,KoreanPop_2022_9,影音 首爾 國際 電視節 表演,Na Nc Nc Nd VC,影音
123,yihsuan1122,,"[影音] 姜珉炅, 崔政勳 - 因為我們那麼相愛 預告",2022-09-23 22:34:56,49.216.222.233,,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663943699.A.355.html,KoreanPop_2022_9,影音 姜珉炅 崔政勳 我們 相愛 預告,Na Nb Nb Nh VH VE,影音
124,nccucat, ,[影音] mimiirose - BLACKPINK dance cover,2022-09-23 21:28:33,1.165.65.154,Taichung,Taiwan,2,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663939715.A.09D.html,KoreanPop_2022_9,影音,Na,影音
125,johnny40615,豆?,[影音] 220923 KBS Music Bank,2022-09-23 18:35:14,114.24.0.245,New Taipei,Taiwan,31,0,8,https://www.ptt.cc/bbs/KoreanPop/M.1663929317.A.466.html,KoreanPop_2022_9,影音,Na,影音
126,tycousin,500元,[情報] Kep1er - Sugar Rush,2022-09-23 17:51:05,42.77.245.148,Chiayi,Taiwan,5,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663926669.A.80E.html,KoreanPop_2022_9,情報,Na,情報
127,tycousin,500元,[影音] 220917-0923 MBC IT's LIVE (Band LIVE),2022-09-23 16:00:28,42.77.245.148,Chiayi,Taiwan,11,0,4,https://www.ptt.cc/bbs/KoreanPop/M.1663920030.A.455.html,KoreanPop_2022_9,影音,Na,影音
128,jinyi,.,[新聞] 演員李彩玟擔任《MUSIC BANK》新MC,2022-09-23 13:55:43,140.111.153.41,,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663912546.A.62F.html,KoreanPop_2022_9,新聞 演員 李彩玟 擔任 新,Na Na Nb VG VH,新聞
129,Im22Yo,Beautiful Wanna One,[影音] JUN (SEVENTEEN) - LIMBO Official M/V,2022-09-23 12:07:13,101.138.46.81,,Taiwan,3,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663906035.A.A86.html,KoreanPop_2022_9,影音  JUN   - LIMBO Official,Na Nb Nb,影音
130,johnny40615,豆?,[情報] 220925 SBS 人氣歌謠 節目單,2022-09-23 09:33:46,114.24.0.245,New Taipei,Taiwan,1,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663896829.A.328.html,KoreanPop_2022_9,情報 人氣 歌謠 節目單,Na Na Na Na,情報
131,johnny40615,豆?,[情報] 220923 KBS Music Bank 節目單,2022-09-23 09:19:20,114.24.0.245,New Taipei,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663895963.A.AEE.html,KoreanPop_2022_9,情報 節目單,Na Na,情報
132,yihsuan1122,,[影音]Dingo SOUND IN THE LAB EP3 - Leellamarz,2022-09-23 00:50:22,45.133.181.113,New Taipei,Taiwan,1,0,2,https://www.ptt.cc/bbs/KoreanPop/M.1663865425.A.2F7.html,KoreanPop_2022_9,影音,Na,影音
133,tycousin,500元,[影音] 雨琦 ((G)I-DLE) - Beggin’(Cover),2022-09-23 00:14:44,114.47.157.25,Kaohsiung City,Taiwan,12,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663863286.A.F37.html,KoreanPop_2022_9,影音  雨琦,Na Nb,影音
134,pkkcyc,,[情報] CIRCLE Global榜(2022.09.11~2022.09.17),2022-09-22 22:18:00,36.227.229.193,Hualien City,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663856283.A.DDE.html,KoreanPop_2022_9,情報 榜 2022.09.11 2022.09.17,Na Na Neu Neu,情報
135,pkkcyc,,[情報] CIRCLE專輯週榜 (2022.09.11~2022.09.17),2022-09-22 22:15:26,36.227.229.193,Hualien City,Taiwan,9,0,2,https://www.ptt.cc/bbs/KoreanPop/M.1663856128.A.0C7.html,KoreanPop_2022_9,情報 專輯 週榜 2022.09.11~ 2022.09.17,Na Na Na Neu Neu,情報
136,pkkcyc,,[情報] CIRCLE數位週榜 (2022.09.11~2022.09.17),2022-09-22 22:06:33,36.227.229.193,Hualien City,Taiwan,1,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663855596.A.2C8.html,KoreanPop_2022_9,情報 數位 週榜 2022.09.11~ 2022.09.17,Na A Na Neu Neu,情報
137,nccucat, ,[情報] 143娛樂新女團LIMELIGHT 9/29 PRE-DEBUT,2022-09-22 21:14:17,1.165.65.154,Taichung,Taiwan,8,0,3,https://www.ptt.cc/bbs/KoreanPop/M.1663852460.A.9F2.html,KoreanPop_2022_9,情報 娛樂 新 女團,Na Na VH Na,情報
138,yukihira,△_▲△,[影音] TEMPEST - Young & Wild(Dance Practice),2022-09-22 21:14:04,49.158.101.59,New Taipei,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663852447.A.792.html,KoreanPop_2022_9,影音  TEMPEST - Young,Na Nb,影音
139,debbielu,lulu,[情報] UP10TION 迷你11輯 Code Name:Arrow 回歸預告集中,2022-09-22 20:41:36,175.183.32.117,,Taiwan,6,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663850498.A.128.html,KoreanPop_2022_9,情報 迷你 11 輯 回歸 預告 集中,Na VH Neu Nf VCL VE VC,情報
140,johnny40615,豆?,[影音] 220922 Mnet M Countdown,2022-09-22 20:30:05,114.24.0.245,New Taipei,Taiwan,24,0,6,https://www.ptt.cc/bbs/KoreanPop/M.1663849819.A.F27.html,KoreanPop_2022_9,影音,Na,影音
141,tycousin,500元,[情報] Lapillus 迷你ㄧ輯 GIRL's ROUND Part.1,2022-09-22 17:28:47,223.139.165.29,Kaohsiung City,Taiwan,14,0,3,https://www.ptt.cc/bbs/KoreanPop/M.1663838931.A.28B.html,KoreanPop_2022_9,情報 迷你 ㄧ 輯,Na VH Neu Nf,情報
142,tycousin,500元,[情報] 說出你的願望 OST Part.9 - 太妍 ,2022-09-22 17:17:46,223.139.165.29,Kaohsiung City,Taiwan,20,0,2,https://www.ptt.cc/bbs/KoreanPop/M.1663838269.A.D03.html,KoreanPop_2022_9,情報 說出 你 願望 太妍,Na VE Nh Na Na,情報
143,sodavoxyi,LOVE YOURSELF,[情報] Crush - Rush Hour (feat.j-hope of BTS),2022-09-22 16:59:44,220.138.220.189,Keelung,Taiwan,22,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1663837186.A.6E0.html,KoreanPop_2022_9,情報  - Rush,Na Nc,情報
144,johnny40615,豆?,[情報] 220924 MBC Show!音樂中心 節目單,2022-09-22 13:44:40,114.24.0.245,New Taipei,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663825483.A.123.html,KoreanPop_2022_9,情報 音樂 中心 節目 單,Na Na Nc Na Na,情報
145,lucy9422,chiaya,Fw: [情報] Huckleberryfinn - The Light Of Rain,2022-09-22 13:21:34,36.231.76.47,New Taipei,Taiwan,1,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663824095.A.AB9.html,KoreanPop_2022_9,情報,Na,情報
146,tycousin,500元,[情報] 獨角獸 OST Part.4 - Meego,2022-09-22 12:05:04,114.47.191.59,New Taipei,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663819508.A.071.html,KoreanPop_2022_9,情報 獨角獸,Na Na,情報
147,lucy9422,chiaya,Fw: [情報] GREAT SEOUL INVASION Section 7,2022-09-22 11:26:04,111.71.213.214,Taoyuan District,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663817165.A.457.html,KoreanPop_2022_9,情報,Na,情報
148,weiwei88,wei,[影音] 產賀(ASTRO) - Hype Boy (Cover),2022-09-22 09:55:14,42.76.142.139,Chang-hua,Taiwan,4,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663811716.A.7A1.html,KoreanPop_2022_9,影音 產賀,Na Nb,影音
149,angelak765,Wandering,[情報] DKZ 10/6 單曲七輯 回歸預告,2022-09-21 23:11:48,42.77.86.0,Kaohsiung City,Taiwan,14,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1663773112.A.920.html,KoreanPop_2022_9,情報 單曲 七 輯 回歸 預告,Na Na Neu Nf VCL VE,情報
150,Im22Yo,Beautiful Wanna One,[情報] 依法相愛吧 OST Part.3 - Ailee,2022-09-21 22:11:08,101.139.20.25,,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663769472.A.0C1.html,KoreanPop_2022_9,情報 相愛,Na VH,情報
151,Im22Yo,Beautiful Wanna One,"[情報] Sing In The Green - Stella Jang, YERIN",2022-09-21 22:06:02,101.139.20.25,,Taiwan,1,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663769166.A.371.html,KoreanPop_2022_9,情報,Na,情報
152,tycousin,500元,[影音] NMIXX - DICE (舞蹈影片),2022-09-21 22:00:28,114.47.151.40,Kaohsiung City,Taiwan,45,0,17,https://www.ptt.cc/bbs/KoreanPop/M.1663768830.A.8B8.html,KoreanPop_2022_9,影音 舞蹈 影片,Na Na Na,影音
153,tycousin,500元,[情報] JAY B - go UP,2022-09-21 19:55:59,114.47.151.40,Kaohsiung City,Taiwan,7,0,2,https://www.ptt.cc/bbs/KoreanPop/M.1663761364.A.6F9.html,KoreanPop_2022_9,情報,Na,情報
154,johnny40615,豆?,[情報] 220921 MBC M Show Champion Song,2022-09-21 18:50:33,114.24.0.245,New Taipei,Taiwan,8,0,4,https://www.ptt.cc/bbs/KoreanPop/M.1663757436.A.E30.html,KoreanPop_2022_9,情報,Na,情報
155,yihsuan1122,,[情報] Tabber - 007 (feat. Syd),2022-09-21 18:16:12,49.216.224.27,New Taipei,Taiwan,1,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663755378.A.E9D.html,KoreanPop_2022_9,情報,Na,情報
156,tycousin,500元,[影音] M2 MASHUP POTATO Billlie (COVER),2022-09-21 16:16:11,114.47.151.40,Kaohsiung City,Taiwan,2,0,4,https://www.ptt.cc/bbs/KoreanPop/M.1663748173.A.732.html,KoreanPop_2022_9,影音,Na,影音
157,johnny40615,豆?,[情報] 220922 Mnet M Countdown 節目單,2022-09-21 14:30:55,114.24.0.245,New Taipei,Taiwan,5,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663741858.A.90D.html,KoreanPop_2022_9,情報 節目單,Na Na,情報
158,tetsu96,STAY with Stray Kids,[影音] I.N(Stray Kids) - 安慰 (COVER),2022-09-20 23:07:02,1.171.49.182,New Taipei,Taiwan,2,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663686424.A.748.html,KoreanPop_2022_9,影音  I.N 安慰,Na Nb VC,影音
159,Im22Yo,Beautiful Wanna One,[情報] 李彩演 迷你1輯 10/12 Solo出道,2022-09-20 23:04:16,101.139.90.148,,Taiwan,27,0,3,https://www.ptt.cc/bbs/KoreanPop/M.1663686258.A.E96.html,KoreanPop_2022_9,情報 李彩演 迷你 1 輯 出道,Na Nb VH Neu Nf VA,情報
160,tycousin,500元,[影音] ITZY - Blah Blah Blah M/V,2022-09-20 23:03:21,114.47.174.172,Kaohsiung City,Taiwan,38,0,17,https://www.ptt.cc/bbs/KoreanPop/M.1663686203.A.4F8.html,KoreanPop_2022_9,影音  ITZY - Blah,Na Nb,影音
161,Im22Yo,Beautiful Wanna One,[情報] 白虎 迷你1輯 10/12 Solo出道,2022-09-20 23:02:01,101.139.90.148,,Taiwan,17,0,4,https://www.ptt.cc/bbs/KoreanPop/M.1663686124.A.A3A.html,KoreanPop_2022_9,情報  白虎  迷你 1 輯 出道,Na Nb VH Neu Nf VA,情報
162,bboy0223,,[影音] 220624-26 WATERBOMB 2022 SEOUL,2022-09-20 22:16:44,118.167.2.45,New Taipei,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663683413.A.C2A.html,KoreanPop_2022_9,影音  220624-26,Na Na,影音
163,qoo12311,qoo,[影音] 第二個世界 第二輪競演 表演片段,2022-09-20 21:27:26,1.161.102.170,New Taipei,Taiwan,27,0,10,https://www.ptt.cc/bbs/KoreanPop/M.1663680448.A.207.html,KoreanPop_2022_9,影音 第二 個 世界 第二 輪 競演 表演 片段,Na Neu Nf Nc Neu Nf VC VC Na,影音
164,johnny40615,豆?,[影音] 220920 SBS M THE SHOW,2022-09-20 18:37:53,114.24.0.245,New Taipei,Taiwan,16,0,4,https://www.ptt.cc/bbs/KoreanPop/M.1663670275.A.486.html,KoreanPop_2022_9,影音,Na,影音
165,tycousin,500元,[影音] Dingo Killing Voice - NCT 127,2022-09-20 18:00:01,114.47.174.172,Kaohsiung City,Taiwan,24,0,9,https://www.ptt.cc/bbs/KoreanPop/M.1663668003.A.434.html,KoreanPop_2022_9,影音,Na,影音
166,angelak765,Wandering,[影音] Standing Egg - 雙關語,2022-09-20 17:33:35,42.77.86.0,Kaohsiung City,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663666418.A.E4A.html,KoreanPop_2022_9,影音 雙關語,Na Na,影音
167,tycousin,500元,[情報] 精神教練諸葛吉 OST Part.2 - 夏賢尚,2022-09-20 13:35:06,114.47.174.172,Kaohsiung City,Taiwan,4,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663652110.A.CA2.html,KoreanPop_2022_9,情報 精神 教練 諸葛吉 夏賢尚,Na Na Na Nb Nb,情報
168,bboy0223,,[影音] 雪娥 (宇宙少女) - 二十五 二十一(COVER),2022-09-20 00:15:45,118.167.2.45,New Taipei,Taiwan,14,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1663604151.A.498.html,KoreanPop_2022_9,影音  雪娥 宇宙 少女  -  二十五 二十一,Na Nb Na Na Nb Neu Neu,影音
169,kiki1235678g,Lylian,[問題] 想問一個女團的mv,2022-09-19 23:53:26,106.64.145.65,,Taiwan,15,0,8,https://www.ptt.cc/bbs/KoreanPop/M.1663602808.A.4AA.html,KoreanPop_2022_9,問題 想 問 一 個 女團,Na VE VE Neu Nf Na,問題
170,pkkcyc,,[情報] 權恩妃 10/12 迷你三輯 回歸預告,2022-09-19 23:06:02,36.227.229.193,Hualien City,Taiwan,16,0,3,https://www.ptt.cc/bbs/KoreanPop/M.1663599964.A.CF2.html,KoreanPop_2022_9,情報 權恩妃 迷你 三 輯 回歸 預告,Na Na VH Neu Nf VCL VE,情報
171,pkkcyc,,[情報] HANTEO週榜 (2022-09-12 ~ 2022-09-18),2022-09-19 21:43:34,36.227.229.193,Hualien City,Taiwan,7,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663595016.A.F22.html,KoreanPop_2022_9,情報 週榜 2022-09,Na Na Neu,情報
172,pkkcyc,,[情報] Melon 週榜 (2022.09.12 ~ 2022.09.18),2022-09-19 21:34:47,36.227.229.193,Hualien City,Taiwan,8,0,2,https://www.ptt.cc/bbs/KoreanPop/M.1663594489.A.E08.html,KoreanPop_2022_9,情報 週榜 2022.09.12,Na Na Neu,情報
173,tycousin,500元,[影音] Kep1er - Sugar Rush M/V TEASER,2022-09-19 20:12:11,114.47.191.159,New Taipei,Taiwan,3,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663589533.A.93C.html,KoreanPop_2022_9,影音,Na,影音
174,tycousin,500元,[影音] Lapillus - GRATATA M/V Teaser,2022-09-19 17:53:03,114.47.191.159,New Taipei,Taiwan,6,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663581185.A.9C1.html,KoreanPop_2022_9,影音,Na,影音
175,tycousin,500元,"[情報] Simon D,Loco,禹元才,Coogie - TTFU",2022-09-19 17:06:51,114.47.191.159,New Taipei,Taiwan,6,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663578416.A.12F.html,KoreanPop_2022_9,情報 禹元才,Na Nb,情報
176,tycousin,500元,[情報] TOMORROW X TOGETHER - Free Falling,2022-09-19 17:04:41,114.47.191.159,New Taipei,Taiwan,3,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1663578285.A.E07.html,KoreanPop_2022_9,情報,Na,情報
177,tycousin,500元,[情報] NMIXX 單曲二輯 'ENTWURF',2022-09-19 17:00:04,223.138.125.32,Tainan City,Taiwan,376,3,301,https://www.ptt.cc/bbs/KoreanPop/M.1663578006.A.BA6.html,KoreanPop_2022_9,情報 單曲 二 輯,Na Na Neu Nf,情報
178,lucy9422,chiaya,[情報] Mint Paper presents : bright #11,2022-09-19 15:12:04,36.231.112.95,New Taipei,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663571534.A.E89.html,KoreanPop_2022_9,情報,Na,情報
179,johnny40615,豆?,[影音] 220920 SBS M THE SHOW 節目單,2022-09-19 15:04:01,114.24.0.245,New Taipei,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663571044.A.E26.html,KoreanPop_2022_9,影音 節目單,Na Na,影音
180,sodavoxyi,LOVE YOURSELF,[影音] Crush - 'Rush Hour (Feat. j-hope of BTS)' MV Teaser,2022-09-19 11:21:47,220.138.220.94,Keelung,Taiwan,5,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1663557709.A.F8A.html,KoreanPop_2022_9,影音,Na,影音
181,mista1130,季少,[影音] IVE 'ELEVEN -Japanese ver.-'MV,2022-09-18 23:56:57,110.26.136.12,Chenggong,Taiwan,33,0,7,https://www.ptt.cc/bbs/KoreanPop/M.1663516619.A.4DC.html,KoreanPop_2022_9,影音,Na,影音
182,Cchild,古戰逃兵,[影音] BLACKPINK - 'Shut Down' PERFORMANCE VIDEO,2022-09-18 23:21:56,180.177.102.22,New Taipei,Taiwan,57,0,21,https://www.ptt.cc/bbs/KoreanPop/M.1663514520.A.646.html,KoreanPop_2022_9,影音,Na,影音
183,Im22Yo,Beautiful Wanna One,[影音] LE SSERAFIM 10/17 回歸,2022-09-18 23:05:48,101.138.175.171,,Taiwan,25,0,4,https://www.ptt.cc/bbs/KoreanPop/M.1663513550.A.019.html,KoreanPop_2022_9,影音 回歸,Na VCL,影音
184,tycousin,500元,[影音] NCT 127 - 疾馳 (BE ORIGINAL),2022-09-18 22:02:03,114.47.153.24,Kaohsiung City,Taiwan,5,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663509725.A.FC2.html,KoreanPop_2022_9,影音  NCT 127 疾馳,Na Nb VA,影音
185,pkkcyc,,[情報] YouTube MV點閱排行(2022 09.11~09.17),2022-09-18 13:44:02,36.227.215.229,New Taipei,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663479845.A.153.html,KoreanPop_2022_9,情報 點閱 排行 2022 09.17,Na VC VG Neu Neu,情報
186,tycousin,500元,"[影音] Simon D,Loco,Woo,Coogie - TTFU M/V預告",2022-09-17 22:00:32,114.47.190.198,New Taipei,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663423234.A.E4D.html,KoreanPop_2022_9,影音 預告,Na VE,影音
187,nccucat, ,[影音] KQ Fellaz 2 - Geek,2022-09-17 21:10:59,1.165.64.209,Taichung,Taiwan,2,0,21,https://www.ptt.cc/bbs/KoreanPop/M.1663420261.A.E0B.html,KoreanPop_2022_9,影音,Na,影音
188,yukihira,△_▲△,[影音] 本月少女 - 'LUMINOUS' MV (日本單曲),2022-09-17 19:58:53,49.158.101.59,New Taipei,Taiwan,5,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1663415935.A.2D2.html,KoreanPop_2022_9,影音 本 月 少女 日本 單曲,Na Nes Na Na Nc Na,影音
189,ReinerBraun,帥之巨人,[閒聊] blackpink的歌結尾為什麼,2022-09-17 18:33:38,101.188.81.186,Melbourne,Australia,9,3,5,https://www.ptt.cc/bbs/KoreanPop/M.1663410820.A.F08.html,KoreanPop_2022_9,閒聊 歌 結尾,VC Na Na,閒聊
190,tycousin,500元,[情報] O.WHEN - better now,2022-09-17 17:14:50,114.47.190.198,New Taipei,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663406093.A.915.html,KoreanPop_2022_9,情報  O.WHEN - better,Na Nb,情報
191,tycousin,500元,[情報] SWEET SORROW - Love Drive Feat. meenoi,2022-09-17 17:08:37,114.47.190.198,New Taipei,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663405721.A.C08.html,KoreanPop_2022_9,情報,Na,情報
